CÓDIGO,BANCO,DESCRIÇÃO DAS ETAPAS,UNID.,QUANT.,UNITÁRIO C/ BDI e DESCONTO,DATA,CATEGORIA,TOTAL DA ETAPA,CORREÇÃO,CLASSIFICAÇÃO SINAPI
90776,SINAPI,ENCARREGADO GERAL COM ENCARGOS COMPLEMENTARES,H,180.0,41.2,2023-01-01,EQUIPE,7416.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88267,SINAPI,ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,H,180.0,35.47,2023-01-01,EQUIPE,6384.6,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88267,SINAPI,ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,H,180.0,35.47,2023-01-01,EQUIPE,6384.6,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88248,SINAPI,AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,H,180.0,30.5,2023-01-01,EQUIPE,5490.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88248,SINAPI,AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,H,180.0,30.5,2023-01-01,EQUIPE,5490.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88309,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,180.0,34.73,2023-01-01,EQUIPE,6251.4,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88309,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,180.0,34.73,2023-01-01,EQUIPE,6251.4,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88242,SINAPI,AJUDANTE DE PEDREIRO COM ENCARGOS COMPLEMENTARES,H,180.0,29.9,2023-01-01,EQUIPE,5382.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88242,SINAPI,AJUDANTE DE PEDREIRO COM ENCARGOS COMPLEMENTARES,H,180.0,29.9,2023-01-01,EQUIPE,5382.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88242,SINAPI,AJUDANTE DE PEDREIRO COM ENCARGOS COMPLEMENTARES,H,180.0,29.9,2023-01-01,EQUIPE,5382.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88241,SINAPI,AJUDANTE DE OPERAÇÃO EM GERAL COM ENCARGOS COMPLEMENTARES,H,180.0,29.85,2023-01-01,EQUIPE,5373.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
88241,SINAPI,AJUDANTE DE OPERAÇÃO EM GERAL COM ENCARGOS COMPLEMENTARES,H,180.0,29.85,2023-01-01,EQUIPE,5373.0,NÃO,LIVRO SINAPI: CÁLCULOS E PARÂMETROS
122,SINAPI,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",UNID,2.0,66.97,2023-01-01,MATERIAIS,133.94,NÃO,MATERIAL
142,SINAPI,SELANTE ELASTICO MONOCOMPONENTE A BASE DE POLIURETANO (PU) PARA JUNTAS DIVERSAS,UNID,40.0,41.85,2023-01-01,MATERIAIS,1674.0,NÃO,MATERIAL
142,SINAPI,SELANTE ELASTICO MONOCOMPONENTE A BASE DE POLIURETANO (PU) PARA JUNTAS DIVERSAS,UNID,60.0,41.85,2023-01-01,MATERIAIS,2511.0,NÃO,MATERIAL
